event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,time_show,x_desktop,y_desktop,x_mobile,y_mobile,hashtag,tag
a11,"วิ่งไล่ลุง อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",a1,1,2,12-01-2563,"อุทยาน
มกุฏรมยสราญ 
จ.นนทบุรี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a12,"วิ่งไล่ลุง เขื่อนขุนด่าน
ปราการชล จ.นครนายก",a1,1,2,12-01-2563,"เขื่อนขุนด่านปราการชล
จ.นครนายก",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a13,วิ่งไล่ลุง สวนชมน่าน จ.พิษณุโลก,a1,1,2,12-01-2563,"สวนชมน่าน 
จ.พิษณุโลก",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a14,"วิ่งไล่ลุง 
ซอยสะพานหิน
จ.ภูเก็ต ",a1,1,2,12-01-2563,"ซอยสะพานหิน 
จ.ภูเก็ต",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a15,"วิ่งไล่ลุง , วิ่งยกลุง
สวนสาธารณะสมเด็จ
พระศรีนครินทร์ จ.ตรัง",a1,1,2,12-01-2563,"สวนสาธารณะสมเด็จ
พระศรีนครินทร์ 
จ.ตรัง",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a16,"เดินเชียร์ลุง 
สวนลุมพินี 
จ.กรุงเทพมหานคร",a1,2,2,12-01-2563,"สวนลุมพินี
กรุงเทพมหานคร",สนับสนุนรัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,5,,,,,,#เดินเชียร์ลุง,"#เดินเชียร์ลุง
#ชังชาติ"
a17,"วิ่งไล่ลุง สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
จ.กรุงเทพมหานคร",a1,1,2,12-01-2563,"สวนวชิรเบญจทัศ 
(สวนรถไฟ) 
กรุงเทพมหานคร",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา เรียกร้องการแก้ปัญหาเศรษฐกิจ แก้ไขรัฐธรรมนูญ และยุติการใช้อำนาจที่เอื้อพวกพ้อง,-,"1,2",,,,,,#วิ่งไล่ลุง,"#วิ่งไล่ลุง
"
a18,วิ่งไล่ลุง จ.เชียงใหม่,a1,1,2,12-01-2563,"ประตูท่าแพ จ.เชียงใหม่ -> อนุสาวรีย์สามกษัตริย์
จ.เชียงใหม่",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,"1. เรียกร้องให้รัฐบาลสนใจความเป็นอยู่ของประชาชน

2. สื่อสารให้รัฐบาลทราบว่าประชาชนไม่พอใจรัฐบาล","1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a19,"วิ่งไล่ลุง สวนเฉลิมพระเกียรติ 
อำเภอสตึก จ.บุรีรัมย์",a1,1,2,12-01-2563,"สวนเฉลิมพระเกียรติ 
อำเภอสตึก 
จ.บุรีรัมย์",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a20,วิ่งไล่ลุง จ.นครศรีธรรมราช,a1,1,2,12-01-2563,"วัดพระมหาธาตุวรมหาวิหาร จังหวัดนครศรีธรรมราช -> ศาลหลักเมืองจังหวัดนครศรีธรรมราช
จ.นครศรีธรรมราช ",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a21,วิ่งไล่ลุง จ.นครศรีธรรมราช,a1,1,2,12-01-2563,"สนามหน้าเมือง 
จ.นครศรีธรรมราช","ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา และขยายพื้นที่สาธารณะและพูดคุยระหว่างผู้เข้าร่วมในกิจกรรม
ที่สร้างสรรค์",- ,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a22,"วิ่งไล่ลุง ทุ่งศรีเมือง 
จ.อุบลราชธานี",a1,1,2,12-01-2563,"บริเวณทุ่งศรีเมือง
จ.อุบลราชธานี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a23,"วิ่งไล่ลุง จากริมเขื่อนหลังศาลากลาง
 จังหวัดนครสวรรค์ จ.นครสวรรค์ 
ไปยังตลาดศรีนคร จ.นครสวรรค์",a1,1,2,12-01-2563,"ริมเขื่อนหลังศาลากลางจังหวัดนครสวรรค์-> ตลาดศรีนคร 
จ.นครสวรรค์",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a24,"วิ่งไล่ลุง จากหอนาฬิกา 
จังหวัดมหาสารคาม 
ไปยัง เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม",a1,1,2,12-01-2563,"หอนาฬิกา จังหวัดมหาสารคาม -> เสริมไทยคอมเพล็กซ์ 
จ.มหาสารคาม","ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,ให้ พล.อ.ประยุทธ์ลาออกจากตำแหน่ง, 
ยุบสภาแล้วเลือกตั้งใหม่, สว. มาจากการเลือกตั้งและยุติบทบาท, 
รัฐธรรมนูญมาจากประชาชน, ประชาชนมีสิทธิในการแสดงออกทางการเมือง","1. พลเอกประยุทธ์ลาออกจากตำแหน่ง

2. ยุบสภาแล้วเลือกตั้งใหม่

3. สว. มาจากการเลือกตั้งและ.ให้ สว. ชุดปัจจุบันยุติบทบาท

4. รัฐธรรมนูญมาจากประชาชน

5. ประชาชนมีสิทธิในการแสดงออกทางการเมือง","1,2,3",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a25,"วิ่งไล่ลุง 
อ่างเก็บน้ำคลองกะทะ 
จ.ภูเก็ต",a1,1,2,12-01-2563,"อ่างเก็บน้ำ
คลองกะทะ
จ.ภูเก็ต",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a26,"วิ่งไล่ลุง  
สวนสมเด็จพระศรีนครินทร์
ปัตตานี จ.ปัตตานี",a1,1,2,12-01-2563,"สวนสมเด็จพระศรีนครินทร์
ปัตตานี 
จ.ปัตตานี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a27,"กิจกรรมต่อต้านการใช้ศาล
กดหัวประชาชน",a1,1,2,19-02-2563,"มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์ 
กรุงเทพมหานคร",คัดค้านการใช้อำนาจตุลาการหรือศาลรัฐธรรมนูญในการยุบพรรคการเมือง,-,1,,,,,,-,-
a28,ศาลรัฐธรรมนูญวินิจฉัย ยุบพรรคอนาคตใหม่ และตัดสิทธิทางการเมืองกรรมการบริหารพรรค (กก.บห.) เป็นเวลา 10 ปี,,,4,21-02-2563,"ศาลรัฐธรรมนูญ
กรุงเทพมหานคร",-,-,6,1,20,50,20,50,,
a29,ไม่ถอยไม่ทน รวมพลคนอนาคตใหม่ โคราช,a28,2,2,21-02-2563,"อนุสาวรีย์ท้าวสุรนารี 
จ.นครราชสีมา",-,-,1,,,,,,-,-
a30,"กิจกรรมจุดเทียนเป็นรูปตราชั่ง
บนพื้นถนน 
หลังพรรคอนาคตใหม่ถูกยุบ",a28,2,2,21-02-2563,"อ่างแก้ว มหาวิทยาลัยเชียงใหม่ 
จ.เชียงใหม่",แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,,,,,,-,-
a31,"รวมพลังสานต่อภารกิจอนาคตใหม่
ค่ำคืนนี้อีกยาวนานนัก",a28,2,3,21-02-2563,"อาคารไทยซัมมิท
กรุงเทพมหานคร","เพื่อพูดถึงแนวทางการขับเคลื่อนทางการเมืองของพรรคอนาคตใหม่ต่อไป
หลังจากถูกศาลรัฐธรรมนูญยุบพรรค",-,1,,,,,,-,-
a32,"แฟลชม็อบประเทศนี้ไม่มี
ความยุติธรรม",a28,2,1,22-02-2563,"ลานปรีดี พนมยงค์ 
มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์ 
กรุงเทพมหานคร","แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
",-,1,,,,,,-,-
a33,"ชูป้าย ""หยุดความอยุติธรรม""",a28,2,1,22-02-2563,"อ่างแก้ว มหาวิทยาลัยเชียงใหม่
จ.เชียงใหม่","แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่
และให้กำลังใจพรรคอนาคตใหม่",-,1,,,,,,-,-
a34,ร่วมกันใส่ชุดดำไว้อาลัยให้ประชาธิปไตย,a28,2,1,22-02-2563,"มหาวิทยาลัยนเรศวร 
จ.พิษณุโลก",ไว้อาลัยแก่ประชาธิปไตยและเหตุการณ์การยุบพรรคอนาคตใหม่,-,1,,,,,,-,-
a35,จุดเทียนเขียนคืนความยุติธรรม,a28,2,1,23-02-2563,"มหาวิทยาลัยบูรพา 
จ.ชลบุรี","เรียกร้องกรณีการตัดสินยุบพรรคอนาคตใหม่ที่ไม่ยุติธรรม และการจับกุมผู้ใช้ทวิตเตอร์ ""นิรนาม"" โดยกฎหมายที่จำกัดสิทธิเสรีภาพและไม่เป็นธรรม",-,1,,,,,,-,-
a36,"อ่านแถลงการณ์แสดงความเสียใจต่อ
การยุบอนาคตใหม่",a28,2,1,23-02-2563,"มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี 
จ.ปัตตานี",แสดงความเสียใจต่อพรรคอนาคตใหม่และแสดงความเป็นห่วงความขัดแย้งในสังคม,-,1,,,,,,-,-
a37,"จุฬาฯรวมพล #CUassemble ..เพราะ
เกียรติภูมิจุฬา คือ เกียรติแห่ง
การรับใช้ประชาชน",a28,2,1,24-02-2563,"หอประชุมจุฬาลงกรณ์มหาวิทยาลัย 
กรุงเทพมหานคร","แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ 
และขับไล่รัฐบาล พลเอกประยุทธ์ จันทร์โอชา",-,"1,2",,,,,,#CUassemble ,-
a38,#มอกะเสดไม่ใช่ขนมหวานราดกะทิ,a28,2,1,24-02-2563,"หอประชุมใหญ่ 
มหาวิทยาลัยเกษตรศาสตร์ บางเขน 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,," #มอกะเสดไม่ใช่
ขนมหวานราดกะทิ",-
a39,"จุดเทียนปราศรัย ประชาธิปไตย? 
แฟลชม็อบ",a28,2,1,24-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์ 
จ.นครปฐม",วิจารณ์การทำงานของรัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,-,-
a40,#กันเกราไม่เอากะลา,a28,2,1,25-02-2563,จ.อุบลราชธานี,วิจารณ์การทำงานของรัฐบาลและแสดงความคิดเห็นต่อกรณีศาลรัฐธรรมนูญตัดสินยุบพรรคอนาคตใหม่,-,1,,,,,,#กันเกราไม่เอากะลา,-
a41,#BUกูไม่ใช่สลิ่ม,a28,2,1,25-02-2563,"มหาวิทยาลัยกรุงเทพ 
จ.ปทุมธานี",วิจารณ์การทำงานของรัฐบาลและขับไล่รัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#BUกูไม่ใช่สลิ่ม,-
a42,#มหาวิทยาลัยปลูกกัญชานักศึกษาไม่กินสลิ่ม,a28,2,1,25-02-2563,"มหาวิทยาลัยแม่โจ้ 
จ.เชียงใหม่",แสดงออกถึงพลังรักประชาธิปไตย ต่อต้านเผด็จการ,-,1,,,,,,"#มหาวิทยาลัยปลูกกัญชา
นักศึกษาไม่กินสลิ่ม",-
a43,#ช้างเผือกจะไม่ทน,a28,2,1,25-02-2563,"ศาลาธรรม มหาวิทยาลัยเชียงใหม่
จ.เชียงใหม่",เรียกร้องให้นายกรัฐมนตรีลาออกและให้ยุบสภา,"1. นายกรัฐมนตรีลาออก

2. ยุบสภา เลือกตั้งใหม่","1,2",,,,,,#ช้างเผือกจะไม่ทน,-
a44,#ศาลายางดกินของหวานหลายสี,a28,2,1,25-02-2563,"อาคารศูนย์การเรียนรู้มหิดล 
จ.นครปฐม",แสดงความคิดเห็นต่อการทำงานของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,,,,,,"#ศาลายางดกินของ
หวานหลายสี",-
a45,#ราชมงคลจะไม่ทนอีกต่อไป,a28,2,1,25-02-2563,"มหาวิทยาลัยเทคโนโลยีราช
มงคลธัญบุรี 
จ.ปทุมธานี",เพื่อแสดงออกเชิงสัญลักษณ์ไม่เอาเผด็จการ,-,1,,,,,,"#ราชมงคลจะไม่ทน
อีกต่อไป",-
a46,#นิด้ามาน้อยแต่มาโว้ย,a28,2,1,26-02-2563,"สถาบันบัณฑิตพัฒนบริหารศาสตร์
กรุงเทพมหานคร",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#นิด้ามาน้อยแต่มาโว้ย,-
a47,#มขพอกันที,a28,2,1,26-02-2563,"บึงสีฐาน มหาวิทยาลัยขอนแก่น 
จ.ขอนแก่น",วิจารณ์การทำงานและขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#มขพอกันที,-
a48,"มศว. องครักษ์ ไว้อาลัย ""ประชาธิปไตย""",a28,2,1,26-02-2563,"มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์ 
จ.นครนายก","ไว้อาลัย ""ประชาธิปไตย""",-,1,,,,,,"มศว. องครักษ์ ไว้อาลัย 
'ประชาธิปไตย'",-
a49,#เด็กเดชฯ อยากเนรเทศเผด็จการ,a28,2,1,26-02-2563,"หน้าโรงเรียนเดชอุดม 
จ.อุบลราชธานี",ประกาศจุดยืนต่อต้านเผด็จการ,-,1,,,,,,"#เด็กเดชฯอยากเนรเทศ
เผด็จการ",-
a50,#ราชมงคลจะไม่ทนอีกต่อไป มทร.อีสาน วิทยาเขตขอนแก่น,a28,2,1,26-02-2563,"มหาวิทยาลัยเทคโนโลยีราช
มงคลอีสาน วิทยาเขตขอนแก่น 
จ.ขอนแก่น",เรียกร้องประชาธิปไตย,-,1,,,,,,"#ราชมงคลจะไม่ทนอีก
ต่อไป มทร.อีสาน 
วิทยาเขตขอนแก่น",-
a51,#ราชภัฏอยากงัดกับสลิ่ม,a28,2,1,26-02-2563,"มหาวิทยาลัยราชภัฏพิบูลสงคราม
จ.พิษณุโลก",รวมตัวแสดงออกถึงประชาธิปไตย และขับไล่รัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#ราชภัฏอยากงัดกับสลิ่ม,-
a52,#สวที่อยู่ข้างประชาธิปไตย,a28,2,1,26-02-2563,"โรงเรียนสตรีวิทยา 
กรุงเทพมหานคร",เพื่อร่วมแสดงออกทางการเมือง,-,1,,,,,,#สวที่อยู่ข้างประชาธิปไตย,-
a53,#เชียงรายไม่เอาเผด็จการ,a28,2,2,26-02-2563,"ศาลากลางจังหวัดเชียงรายหลังเก่า
จ.เชียงราย",ไม่ต้องการเผด็จการ,"1. เรียกร้องให้ยุบสภา

2. แก้ไขรัฐธรรมนูญ เอา ส.ว.250 เสียงออกไป

3. ให้ พล.อ.ประยุทธ์ จันทร์โอชาเลิกยุ่งเกี่ยวการเมือง","1,2,3",,,,,,#เชียงรายไม่เอาเผด็จการ,-
a54,#ดอกจานบานที่อุดรบ่ออนซอนเผด็จการ,a28,2,1,26-02-2563,"มหาวิทยาลัยราชภัฏอุดรธานี
จ.อุดรธานี",แสดงความกังวลต่อกรณีการยุบพรรคอนาคตใหม่และการทำงานของรัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,"#ดอกจานบานที่อุดร
บ่ออนซอนเผด็จการ",-
a55,#ศิลปากรขอมีซีน,a28,2,2,26-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตพระราชวังสนามจันทร์
จ.นครปฐม",ขับไล่รัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#ศิลปากรขอมีซีน,-
a56,#วังท่าพระไม่สายลมแสงแดด,a28,2,1,26-02-2563,"ลาน อ.ศิลป์ พีระศรี
 มหาวิทยาลัยศิลปากร วังท่าพระ 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาล วิจารณ์ศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่ ,เรียกร้องให้แก้ไขรัฐธรรมนูญ,"1,3",,,,,,#วังท่าพระไม่สายลมแสงแดด,-
a57,#ศิลป์เพชรไม่เงียบ,a28,2,1,26-02-2563,"มหาวิทยาลัยศิลปากร 
วิทยาเขตสารสนเทศเพชรบุรี 
จ.เพชรบุรี",แสดงจุดยืนว่าต้องการประชาธิปไตย,-,1,,,,,,#ศิลป์เพชรไม่เงียบ,-
a58,#ขอกู้คืนเกียรติ คนยังยืนโดดเด่นโดยท้าทาย,a28,2,1,26-02-2563,"มหาวิทยาลัยวลัยลักษณ์ 
จ.นครศรีธรรมราช",-,-,1,,,,,,"#ขอกู้คืนเกียรติ คนยังยืนโดดเด่น
โดยท้าทาย",-
a59,#หนังสือก็ต้องอ่านของหวานไม่ชอบกิน,a28,2,1,26-02-2563,"สถาบันเทคโนโลยีพระจอมเกล้า
เจ้าคุณทหารลาดกระบัง 
กรุงเทพมหานคร","แสดงจุดยืนต่อต้านความไม่เป็นประชาธิปไตย จากกรณีศาลรัฐธรรมนูญตัดสิน
ยุบพรรคอนาคตใหม่",-,1,,,,,,"#หนังสือก็ต้องอ่านของหวาน
ไม่ชอบกิน",-
a60,"#มอออตานีขยี้รอบสอง แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",a28,2,1,26-02-2563,"ตึกกิจกรรมนักศึกษา 
มหาวิทยาลัยสงขลานครินทร์ 
วิทยาเขตปัตตานี 
จ.ปัตตานี",วิจารณ์การทำงานของรัฐบาลพลเอกประยุทธ์ จันทร์โอชา เรียกร้องประชาธิปไตยเเละสังคมที่เป็นธรรม,"ข้อเรียกร้อง 3 ข้อ

1. ให้มีการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญเพื่อให้มีการร่างรัฐธรรมนูญและเปิดให้มีการลงประชามติร่างรัฐธรรมนูญ
 
2. ให้ผู้ดำรงตำแหน่งในองค์กรอิสระที่ได้รับการแต่งตั้งหรือขยายระยะเวลาการดำรงตำแหน่งจากคสช. ลาออก
 
3. ให้พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีลาออกจากตำแหน่ง","1,2,3",,,,,,"#มอออตานีขยี้รอบสอง 
แฟลชม็อบจากรูสะมิแล 
ไม่แคร์เผด็จการ",-
a61,#ธรรมศาสตร์และการชุมนุม,a28,2,1,26-02-2563,"ลานพญานาค มหาวิทยาลัยธรรมศาสตร์ รังสิต 
จ.ปทุมธานี",วิจารณ์การทำงานและขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา และเรียกร้องประชาธิปไตย,-,"1,2",,,,,,#ธรรมศาสตร์และการชุมนุม,-
a62,#มศวขอมีจุดยืน,a28,2,1,26-02-2563,"มหาวิทยาลัยศรีนครินทรวิโรฒ 
ประสานมิตร 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาลพลเอกประยุทธ์ จันทร์โอชา และศาลรัฐธรรมนูญ,-,"1,2",,,,,,#มศวขอมีจุดยืน,-
a63,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,a28,2,1,26-02-2563,"หอประชุมธํารง บัวศรี มหาวิทยาลัยบูรพา 
จ.ชลบุรี",เพื่อแสดงออกคัดค้านความไม่เป็นธรรมและรัฐบาลเผด็จการ,-,"1,2",,,,,,#ทีมลูกระนาดอยากจะฟาดบ้างแม่,-
a64,"การชุมนุมของนักศึกษามหาวิทยาลัยราชภัฏ
สุราษฎร์ธานี",a28,2,1,26-02-2563,"มหาวิทยาลัยราชภัฎสุราษฎร์ธานี 
จ.สุราษฎร์ธานี",แสดงถึงความห่วงกังวลเกี่ยวกับคำวินิจฉัยของศาลรัฐธรรมนูญในการยุบพรรคอนาคตใหม่,-,1,,,,,,-,-
a65,#ลูกแม่ไทรไม่เอาเผด็จการ,a28,2,1,26-02-2563,"มหาวิทยาลัยหอการค้าไทย 
กรุงเทพมหานคร",วิจารณ์การทำงานของรัฐบาล พลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#ลูกแม่ไทรไม่เอาเผด็จการ,-
a66,#มรนเพื่อประชาธิปไตย,a28,2,1,27-02-2563,"มหาวิทยาลัยราชภัฎนครปฐม 
จ.นครปฐม",เพื่อแสดงออกถึงความไม่เห็นด้วยกับการยุบพรรคอนาคตใหม่ และเรียกร้องเอาประชาธิปไตย ต่อต้านเผด็จการ,-,"1,2",,,,,,#มรนเพื่อประชาธิปไตย,-
a67,#ศาลาวีรชนจะไม่ใช่ที่หลบฝนอีกต่อไป,a28,2,1,27-02-2563,"มหาวิทยาลัยพระจอมเกล้าธนบุรี
กรุงเทพมหานคร",เรียกร้องให้ประเทศเป็นประชาธิปไตยอย่างแท้จริง,-,1,,,,,,"#ศาลาวีรชนจะไม่ใช่ที่หลบฝน
อีกต่อไป",-
a68,#ราชมงคลอีสานต่อต้านเผด็จการ,a28,2,1,27-02-2563,"มหาวิทยาลัยเทคโนโลยีราชมงคล
อีสาน 
จ.นครราชสีมา",วิจารณ์การทำงานของรัฐบาลพลเอกประยุทธ์ จันทร์โอชา และศาลรัฐธรรมนูญ,-,"1,2",,,,,,#ราชมงคลอีสานต่อต้านเผด็จการ,-
a69,#รังสิตขับไล่เผด็จการ,a28,2,1,27-02-2563,"มหาวิทยาลัยรังสิต 
จ.ปทุมธานี",ขับไล่รัฐบาลเผด็จการของพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#รังสิตขับไล่เผด็จการ,-
a70,#ลูกพ่อขุนไม่รับใช้เผด็จการ,a28,2,1,27-02-2563,"มหาวิทยาลัยรามคำแหง 
กรุงเทพมหานคร",เรียกร้องให้แก้รัฐธรรมนูญ ให้ผู้ดำรงตำแหน่งในองค์กรอิสระที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออก และให้นายกรัฐมนตรีลาออก,"ข้อเรียกร้อง 3 ข้อ คือ 

1. ให้ร่างรัฐธรรมนูญใหม่ทั้งฉบับ โดยสภาร่างรัฐธรรมนูญ (สสร.) รับฟังความคิดเห็นอย่างอิสระ และทำประชามติ

2. ให้นายกรัฐมนตรีต้องลาออก 

3. ผู้ดำรงตำแหน่งในองค์กรอิสระ ที่ได้รับการแต่งตั้งในสมัยรัฐประหารลาออก","1,2,3",,,,,,#ลูกพ่อขุนไม่รับใช้เผด็จการ,-
